"","ACMG_Lit_Full.Short_Name","AF_EXAC","AF_EXAC_AFR","AF_EXAC_AMR","AF_EXAC_EAS","AF_EXAC_EUR","AF_EXAC_SAS"
"1","APC-Polyposis",0.00321547820966939,4.92871797663774e-06,0.00121892748051378,5.92641737662269e-06,0.00458391468352748,0.00135974779297909
"2","Arrhythm RV CM",0.00529463465908087,0.00366628906936606,0.00157825370184006,0.00405202243732994,0.00300345996589946,0.0161513212233183
"3","Breast-Ovarian Cancer",0.00192015610844443,0.00152120445801296,0.000837599557798052,0.00161348104802284,0.00184326432953441,0.00172299619330429
"4","Brugada Syndrome",0.00587033100477474,0.00686138346524412,0.00523323979662016,0.00521016689754039,0.00430537815359022,0.012257103418391
"5","CPV Tachycardia",1.63278680673784e-05,4.92871797663774e-06,4.42984547688319e-06,9.51648958673612e-05,1.11535214054603e-05,3.10623234556218e-06
"6","Dilated CM",0.0078975538071776,0.00602411051259799,0.0109455512530249,0.00559528522827757,0.00852551457939532,0.00461266146200223
"7","Ehlers-Danlos",3.86778821797051e-05,4.92871797663774e-06,7.06948268539564e-05,5.92641737662269e-06,2.69569758626353e-05,4.95254577133064e-05
"8","Endocrine Neoplasias 1",4.25652740276838e-07,4.92871797663774e-06,4.42984547688319e-06,5.92641737662269e-06,6.99247174051898e-07,3.10623234556218e-06
"9","Endocrine Neoplasias 2",0.000701698648009397,0.000337109829667059,0.000407632953843828,0.000396495010836051,0.000614052092967277,0.000979735528359393
"10","Fabry's Disease",0.00117284108878291,0.000169534371528002,0.000449207558211984,0.00110219391517785,0.00130657622942376,0.00107643503852395
"11","Hypercholesterolemia",0.00544895044268856,0.00411882327274304,0.00252571679606162,0.0126673537454717,0.00461562429756823,0.00508344445503661
"12","Hypertrophic CM",0.00896793163111442,0.00656664626013026,0.0107443946266579,0.00638937490464297,0.0096041274583526,0.00502024493572384
"13","Juvenile Polyposis",7.2096702312674e-06,9.85741166104059e-06,8.85967133024135e-06,1.18527996307849e-05,1.19558847222478e-05,6.21245504239809e-06
"14","Li-Fraumeni",0.00125931991235528,0.000605391431138913,0.000543180675244392,0.000888388349595703,0.00154693470089029,0.000375068815925417
"15","Loeys-Dietz",2.79133598006798e-05,1.47860810532086e-05,7.97536476877525e-05,1.77791467628197e-05,1.25481856606546e-05,5.58355844073599e-05
"16","Long QT Syndrome",0.00939398837247485,0.00790748723027201,0.00959739318308672,0.00778601052839112,0.00791544376693609,0.0138417201588139
"17","Lynch Syndrome",0.00118542321588422,0.000921352543725162,0.000682014387214713,0.00262567664690982,0.00092524721006082,0.000771816488361554
"18","Malignant Hyperthermia",0.00116199417953888,0.000601343730162296,0.000942092422916208,0.000100786405053954,0.00128595688674515,0.000758435890222287
"19","Marfan Syndrome",0.000911202479902173,0.00075333228943586,0.000355591338915051,0.00054899751394244,0.000972721777935281,0.000610127485750622
"20","MUTYH-Polyposis",4.3639699369713e-06,5.2023333335649e-06,7.13220771619838e-06,7.87202911275431e-05,7.82095113205372e-06,3.30201440956746e-06
"21","Neurofibromatosis",4.25652740276838e-07,4.92871797663774e-06,4.42984547688319e-06,5.92641737662269e-06,6.99247174051898e-07,3.10623234556218e-06
"22","OTC Deficiency",0.000221344884900443,4.51059922327302e-05,4.42984547688319e-06,5.66564737856101e-05,0.000320167190196785,3.88774513141454e-05
"23","Paragangliomas",0.000196774603150374,0.000207550901793807,8.39527229308246e-05,2.3705458772838e-05,0.000220599417774525,0.00012862471860331
"24","Peutz-Jeghers",4.25652740276838e-07,4.92871797663774e-06,4.42984547688319e-06,5.92641737662269e-06,6.99247174051898e-07,3.10623234556218e-06
"25","PTEN Hamartomas",0.000171585215888226,0.000268191470301549,4.42984547688319e-06,0.000127948543356848,0.000134152985938774,0.000199097867624509
"26","Retinoblastoma",5.56417724737468e-05,7.92197743915146e-05,4.42984547688319e-06,5.92641737662269e-06,1.14254454729457e-05,0.000216197806546692
"27","Thoracic Aortic",0.000234021385695393,9.85741166104059e-06,8.85967133024135e-06,0.00054851407328127,0.00022584059189934,0.000202092860321579
"28","Tuberous Sclerosis",0.00291309948311902,0.000195815333014271,0.000803362248369188,1.18527996307849e-05,0.00452287354379355,0.000122431373484777
"29","Von Hippel-Lindau",0.00014465293409438,4.92871797663774e-06,4.42984547688319e-06,5.92641737662269e-06,0.000198445569892014,0.00016113872603174
"30","Wilms Tumor",4.25652740276838e-07,4.92871797663774e-06,4.42984547688319e-06,5.92641737662269e-06,6.99247174051898e-07,3.10623234556218e-06
"31","Wilson Disease",1.55913065336133e-06,5.14691691222424e-06,6.62191463052242e-06,7.16019849855698e-06,3.16916790721322e-06,3.43575236916305e-06
